DOB_Label,Date Of Birth,Post Code,PC_Label,NINO_Label,National Insurance Number
Date Of Birth,29/10/1966,N12 0QL,Post Code,NINO,OT 22 36 50 B
Date Of Birth,14/11/1958,NN10 0DF,Post Code,NINO,BJ 40 01 18 D
Date Of Birth,22/08/2002,B69 1PE,Post Code,NINO,KG 00 46 71 A
Date Of Birth,02/07/1904,M21 7NU,Post Code,NINO,YS 76 20 05 D
Date Of Birth,10/06/1931,PE37 7HF,Post Code,NINO,JM 80 02 72 C
Date Of Birth,24/02/1902,BA2 2PP,Post Code,NINO,ZM 92 11 14 B
Date Of Birth,16/09/1975,NE3 4JN,Post Code,NINO,TA 13 52 32 C
Date Of Birth,27/06/2010,PH2 0EH,Post Code,NINO,PK 68 50 80 D
Date Of Birth,22/04/1987,IV2 6BG,Post Code,NINO,XH 92 17 34 D
Date Of Birth,29/09/1961,TN27 8LG,Post Code,NINO,GN 61 42 76 A
Date Of Birth,29/04/1956,S65 4BH,Post Code,NINO,LT 54 00 77 B
Date Of Birth,03/04/1982,TS15 0JX,Post Code,NINO,RB 59 35 40 A
Date Of Birth,14/05/1997,NE66 2TZ,Post Code,NINO,YS 37 67 55 D
Date Of Birth,30/12/1993,KY2 5JS,Post Code,NINO,TR 20 79 34 C
Date Of Birth,27/08/1943,AB39 2JB,Post Code,NINO,CH 49 54 80 D
Date Of Birth,09/07/2006,PR26 9AY,Post Code,NINO,JT 73 48 99 A
Date Of Birth,30/09/1972,HA1 4TR,Post Code,NINO,HB 32 20 88 D
Date Of Birth,28/05/1987,BR7 5RN,Post Code,NINO,WM 62 08 54 A
Date Of Birth,17/11/1935,WC1B 3BN,Post Code,NINO,HM 98 09 68 C
Date Of Birth,09/07/1918,LS1 3AA,Post Code,NINO,WZ 42 54 45 B
,,,,,
